AQI Value,Outlier,Status
95.0,False,Moderate
125.0,False,Unhealthy For Sensitive Groups
63.0,False,Moderate
22.0,False,Good
49.0,False,Good
125.0,False,Unhealthy For Sensitive Groups
163.0,False,Unhealthy
35.0,False,Good
87.0,False,Moderate
26.0,False,Good
24.0,False,Good
100.0,False,Moderate
161.0,False,Unhealthy
33.0,False,Good
84.0,False,Moderate
24.0,False,Good
17.0,False,Good
122.0,False,Unhealthy For Sensitive Groups
122.0,False,Unhealthy For Sensitive Groups
32.0,False,Good
94.0,False,Moderate
7.0,False,Good
19.0,False,Good
32.0,False,Good
149.0,False,Unhealthy For Sensitive Groups
76.0,False,Moderate
42.0,False,Good
178.0,False,Unhealthy
67.0,False,Moderate
90.0,False,Moderate
45.0,False,Good
142.0,False,Unhealthy For Sensitive Groups
38.0,False,Good
53.0,False,Moderate
71.0,False,Moderate
28.0,False,Good
61.0,False,Moderate
11.0,False,Good
42.0,False,Good
134.0,False,Unhealthy For Sensitive Groups
37.0,False,Good
45.0,False,Good
75.0,False,Moderate
52.0,False,Moderate
64.0,False,Moderate
24.0,False,Good
74.0,False,Moderate
22.0,False,Good
27.0,False,Good
50.0,False,Good
147.0,False,Unhealthy For Sensitive Groups
11.0,False,Good
67.0,False,Moderate
18.0,False,Good
68.0,False,Moderate
31.0,False,Good
67.0,False,Moderate
48.0,False,Good
107.0,False,Unhealthy For Sensitive Groups
77.0,False,Moderate
26.0,False,Good
17.0,False,Good
22.0,False,Good
50.0,False,Good
51.0,False,Moderate
23.0,False,Good
2.0,False,Good
58.0,False,Moderate
168.0,False,Unhealthy
120.0,False,Unhealthy For Sensitive Groups
47.0,False,Good
27.0,False,Good
92.0,False,Moderate
56.0,False,Moderate
56.0,False,Moderate
51.0,False,Moderate
46.0,False,Good
46.0,False,Good
149.0,False,Unhealthy For Sensitive Groups
17.0,False,Good
57.0,False,Moderate
28.0,False,Good
50.0,False,Good
26.0,False,Good
74.0,False,Moderate
48.0,False,Good
65.0,False,Moderate
41.0,False,Good
59.0,False,Moderate
44.0,False,Good
72.0,False,Moderate
23.0,False,Good
25.0,False,Good
141.0,False,Unhealthy For Sensitive Groups
55.0,False,Moderate
70.0,False,Moderate
42.0,False,Good
43.0,False,Good
76.0,False,Moderate
58.0,False,Moderate
65.0,False,Moderate
14.0,False,Good
30.0,False,Good
50.0,False,Good
84.0,False,Moderate
